dataset,model,fold,roc_auc,accuracy,f1_weighted
Breast Cancer,lightgbm,2,0.9993386243386243,0.9912280701754386,0.9912054752585661
Breast Cancer,lightgbm,3,0.9894179894179894,0.9912280701754386,0.9912054752585661
Breast Cancer,lightgbm,4,0.9983232729711603,0.9823008849557522,0.9823008849557522
Credit Card Fraud,lightgbm,0,1.0,0.9995,0.9995356516761474
Credit Card Fraud,lightgbm,1,1.0,1.0,1.0
Credit Card Fraud,lightgbm,2,0.99966616591554,0.9995,0.9994500625782229
Credit Card Fraud,lightgbm,3,0.999874749498998,0.9995,0.9995277151368357
Credit Card Fraud,lightgbm,4,0.9522795591182365,0.9985,0.998050563204005
IMDB Movie Reviews,lightgbm,0,0.9336589727357012,0.8585,0.8584871584865441
IMDB Movie Reviews,lightgbm,1,0.9321317879463416,0.8575,0.8575007481251871
IMDB Movie Reviews,lightgbm,2,0.929862513364117,0.862,0.8620033122119816
IMDB Movie Reviews,lightgbm,3,0.9371323930195554,0.8655,0.8655028583315145
IMDB Movie Reviews,lightgbm,4,0.9304415834315952,0.8515,0.8515007796251948
MNIST,lightgbm,0,0.9969155444859196,0.9455,0.945404810454822
MNIST,lightgbm,1,0.9966531846170759,0.941,0.940951261641181
MNIST,lightgbm,2,0.9973570101118365,0.94,0.9398612603555254
MNIST,lightgbm,3,0.9972946488610612,0.944,0.9440237339558409
MNIST,lightgbm,4,0.9963741928655911,0.9295,0.9293778790923345
HIGGS,lightgbm,0,0.7824980542793303,0.711,0.7108303197740761
HIGGS,lightgbm,1,0.7650402952474202,0.6985,0.6973288045023023
HIGGS,lightgbm,2,0.7645381737842385,0.6965,0.6954061396116121
HIGGS,lightgbm,3,0.7794602194270794,0.701,0.7007744814582024
HIGGS,lightgbm,4,0.7850106700810926,0.7115,0.7112699804560948
